VCD info: dumpfile build/tb-processor.vcd opened for output.
Time=000ms, Clock=0, Reset=1, RandChoice=xxxxxxx, Count1= x, Count2= x, Count3= x, Count4= x, Count5= x, Count6= x, Count7= x, Count8= x, BallLocation=x
Time=010ms, Clock=1, Reset=1, RandChoice=xxxxxxx, Count1= 0, Count2= 0, Count3= 0, Count4= 0, Count5= 0, Count6= 0, Count7= 0, Count8= 0, BallLocation=x
Time=020ms, Clock=0, Reset=0, RandChoice=xxxxxxx, Count1= 0, Count2= 0, Count3= 0, Count4= 0, Count5= 0, Count6= 0, Count7= 0, Count8= 0, BallLocation=x
Time=030ms, Clock=1, Reset=0, RandChoice=1110100, Count1= 0, Count2= 0, Count3= 0, Count4= 0, Count5= 1, Count6= 0, Count7= 0, Count8= 0, BallLocation=4
Time=040ms, Clock=0, Reset=0, RandChoice=1110100, Count1= 0, Count2= 0, Count3= 0, Count4= 0, Count5= 1, Count6= 0, Count7= 0, Count8= 0, BallLocation=4
Time=050ms, Clock=1, Reset=0, RandChoice=1100100, Count1= 0, Count2= 0, Count3= 0, Count4= 1, Count5= 1, Count6= 0, Count7= 0, Count8= 0, BallLocation=3
Time=060ms, Clock=0, Reset=0, RandChoice=1100100, Count1= 0, Count2= 0, Count3= 0, Count4= 1, Count5= 1, Count6= 0, Count7= 0, Count8= 0, BallLocation=3
Time=070ms, Clock=1, Reset=0, RandChoice=1100101, Count1= 0, Count2= 0, Count3= 0, Count4= 1, Count5= 2, Count6= 0, Count7= 0, Count8= 0, BallLocation=4
Time=080ms, Clock=0, Reset=0, RandChoice=1100101, Count1= 0, Count2= 0, Count3= 0, Count4= 1, Count5= 2, Count6= 0, Count7= 0, Count8= 0, BallLocation=4
Time=090ms, Clock=1, Reset=0, RandChoice=1011100, Count1= 0, Count2= 0, Count3= 0, Count4= 1, Count5= 3, Count6= 0, Count7= 0, Count8= 0, BallLocation=4
Time=100ms, Clock=0, Reset=0, RandChoice=1011100, Count1= 0, Count2= 0, Count3= 0, Count4= 1, Count5= 3, Count6= 0, Count7= 0, Count8= 0, BallLocation=4
Time=110ms, Clock=1, Reset=0, RandChoice=0011111, Count1= 0, Count2= 0, Count3= 0, Count4= 1, Count5= 3, Count6= 1, Count7= 0, Count8= 0, BallLocation=5
Time=120ms, Clock=0, Reset=0, RandChoice=0011111, Count1= 0, Count2= 0, Count3= 0, Count4= 1, Count5= 3, Count6= 1, Count7= 0, Count8= 0, BallLocation=5
Time=130ms, Clock=1, Reset=0, RandChoice=1111001, Count1= 0, Count2= 0, Count3= 0, Count4= 1, Count5= 3, Count6= 2, Count7= 0, Count8= 0, BallLocation=5
